,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,7.274441636126975,2.384568214416504,5.70554122607417,2.0723555088043213
1,5.0519521443740185,1.9444729089736938,3.7467491649410047,1.6512264013290405
2,3.0382971556290337,1.4714858531951904,2.251402470653673,1.2502721548080444
3,1.8438332547312197,1.0928757190704346,1.648611578057194,1.0276999473571777
4,1.4027263301870097,0.9251607060432434,1.3099931174337203,0.9102912545204163
5,1.1066076794396276,0.8125820755958557,1.0391006968478582,0.8011289834976196
6,0.879712603662325,0.7100491523742676,0.825757307787138,0.7032819986343384
7,0.7088594517630079,0.6284574270248413,0.6689285371930777,0.6212713718414307
8,0.5874598253032436,0.5604731440544128,0.5602214495089088,0.5592139363288879
9,0.49887949082514516,0.5100669264793396,0.4868684872488968,0.514105498790741
10,0.4357918598081755,0.47405633330345154,0.43935564618480943,0.48356562852859497
11,0.3865538061313007,0.44548481702804565,0.3986974270710288,0.45658600330352783
12,0.34958622345457907,0.42079296708106995,0.37175681544748235,0.43745434284210205
13,0.3216701545145201,0.39970993995666504,0.3513793918863529,0.42780759930610657
14,0.30000489917786227,0.3847711384296417,0.3293368020545095,0.41139426827430725
15,0.2818006912003393,0.37148189544677734,0.3138034705975921,0.40115073323249817
16,0.26658388194830523,0.36027687788009644,0.3049395120748438,0.39410489797592163
17,0.2517664090770742,0.348026841878891,0.2926139150009669,0.3874834477901459
18,0.24108353726889775,0.3394468128681183,0.2755557710508537,0.3688350319862366
19,0.23137191099965054,0.33121269941329956,0.2649089514075671,0.3590793013572693
20,0.22320866422808688,0.3223493695259094,0.25889268630846934,0.3548603951931
21,0.2165697751485783,0.3159591257572174,0.24763919534707787,0.3436483144760132
22,0.2113978932409183,0.3106810748577118,0.24236742498001848,0.3365444540977478
23,0.20572438609340918,0.30751222372055054,0.23790324310493166,0.33301064372062683
24,0.2005305006776167,0.3018403947353363,0.23278820847652604,0.3291400074958801
25,0.19559217519734218,0.29778623580932617,0.22807569865568314,0.32356271147727966
26,0.1917697032508643,0.293908029794693,0.22292356782263698,0.32154136896133423
27,0.1883832718367162,0.2900014817714691,0.219802444006675,0.3162200152873993
28,0.1847503115625485,0.2867632806301117,0.2148321656814279,0.3115050196647644
29,0.18150483249970104,0.2820754647254944,0.21219153420057993,0.30838561058044434
30,0.17838144561518793,0.280588835477829,0.21130471722637606,0.3049670457839966
31,0.17549754784482977,0.27747848629951477,0.20681477721821864,0.3011420667171478
32,0.17402337677776814,0.2754848599433899,0.2057915369370471,0.3015010356903076
33,0.1708624550829763,0.27196204662323,0.20454683226847611,0.2963029146194458
34,0.16887157264610994,0.27100518345832825,0.20332018561106288,0.2939733564853668
35,0.166384888731915,0.267576664686203,0.19971102818539704,0.2916962206363678
36,0.16476120297675548,0.2660120129585266,0.1994639485838296,0.2920442223548889
37,0.16320931304084219,0.26434019207954407,0.20045297714496377,0.2946914732456207
38,0.16175434220096338,0.2615266442298889,0.19805960099784017,0.2917212247848511
39,0.15964427371711834,0.2604215145111084,0.19746752847251725,0.2908160984516144
40,0.15629806879745878,0.2568979263305664,0.1978404549040526,0.29399269819259644
41,0.158600102543183,0.25761866569519043,0.19270643523396858,0.28443092107772827
42,0.1555367300853781,0.2544592618942261,0.1927853336472141,0.2854400873184204
43,0.1542763070243856,0.25351768732070923,0.19128215094517603,0.28459036350250244
44,0.1532260535041923,0.2525798976421356,0.1902992092013926,0.2815391421318054
45,0.1528910460031551,0.25119853019714355,0.18886453347803106,0.28047606348991394
46,0.15152955387273562,0.24996083974838257,0.1916589226733108,0.28476810455322266
